HGNC:24600	ANKS1B	eb1
HGNC:24674	FBF1	alb
HGNC:2469	CSRP1	crp
HGNC:2472	CSRP3	lmo4
HGNC:24766	GOLT1A	got1
HGNC:24824	FZR1	cdh1
HGNC:2482	CSTB	cst6
HGNC:24878	TMED9	p25
HGNC:24902	DEPDC1B	brcc3
HGNC:2491	CTAG1B	ny-eso-1
HGNC:24921	EIF2AK1	hcr
HGNC:24949	OTUD4	hin1
HGNC:25012	LGALSL	grp
HGNC:25076	NBPF3	ae2
HGNC:25205	UCMA	grp
HGNC:25248	CRISPLD2	lgl1
HGNC:25361	ARHGAP24	p73
HGNC:25487	MED9	med25
HGNC:25512	PRPF38B	net1
HGNC:2557	CUX1	p100
HGNC:2557	CUX1	p110
HGNC:2557	CUX1	p75
HGNC:2558	CX3CR1	ccrl1
HGNC:25712	PGAP1	bst1
HGNC:25718	LPCAT1	agpat9
HGNC:25847	UBE2Z	use1
HGNC:2595	CYP1A1	ahrr
HGNC:2600	CYP21A2	cps1
HGNC:26068	LAMTOR1	p18
HGNC:2606	CYP27B1	vdr
HGNC:26161	CORO7	pod1
HGNC:2624	CYP2D7	cyp2d6
HGNC:26317	IMMP1L	imp1
HGNC:26333	SRFBP1	strap
HGNC:26359	PXDNL	prm1
HGNC:26518	PM20D1	cps1
HGNC:2662	DAB2	doc2
HGNC:26693	TTLL10	ttll5
HGNC:2675	DAPK2	drp1
HGNC:26780	DAND5	crl2
HGNC:26780	DAND5	sp1
HGNC:26795	ANKS4B	harp
HGNC:2700	DCLK1	cl1
HGNC:2720	ASAP1	pap
HGNC:2721	ASAP2	pap
HGNC:2726	DDIT3	cebpz
HGNC:27283	PLBD2	p76
HGNC:2730	DDR1	nep
HGNC:2731	DDR2	tkt
HGNC:2736	DDX11	chl1
HGNC:27578	CISD3	mint
HGNC:2761	DEFA1	hp1
HGNC:2765	DEFA6	def6
HGNC:2769	DENR	drp1
HGNC:2773	DFFB	cad
HGNC:27949	GADL1	adc
HGNC:28155	FBXL15	psd
HGNC:28834	CEACAM21	ceacam3
HGNC:28866	IGF2BP1	zbp1
HGNC:28868	IGF2BP3	imp3
HGNC:28944	TBC1D3D	tbc1d3
HGNC:2899	DLEC1	dlc1
HGNC:2899	DLEC1	dlc-1
HGNC:29099	TELO2	clk2
HGNC:29158	SBNO2	sno
HGNC:2916	DLX3	tdo
HGNC:291	ADSL	asl
HGNC:2926	DMBT1	sag
HGNC:29477	LEPROT	lepr
HGNC:29504	ZACN	zac
HGNC:29504	ZACN	zac1
HGNC:29566	PLPPR2	prg4
HGNC:29570	GLS2	gls
HGNC:29622	MCAT	mct1
HGNC:29629	BUD31	edg2
HGNC:29661	OMA1	dab1
HGNC:29786	SLC25A37	msc
HGNC:29796	LAMTOR2	p14
HGNC:29808	TMPRSS13	msp
HGNC:2981	DNPEP	dap
HGNC:29838	NDOR1	nr1
HGNC:29884	UBASH3B	p70
HGNC:29887	NLRP2B	pop4
HGNC:29911	C1D	lrp1
HGNC:29929	NUP37	p37
HGNC:2995	DPAGT1	gpt
HGNC:29971	OSCP1	nor1
HGNC:3002	DPEP1	mbd1
HGNC:30043	PAG1	cbp
HGNC:30045	SMG1	atx
HGNC:30077	REEP5	dp1
HGNC:30096	SF3B6	p14
HGNC:30125	MZB1	pacap
HGNC:30134	PELP1	p160
HGNC:30142	GDF15	pdf
HGNC:30225	SLC52A1	par2
HGNC:30227	SPPL2A	imp3
HGNC:30238	WLS	mrp
HGNC:30259	PDXP	plp
HGNC:30299	LRIF1	rif1
HGNC:30327	RPP14	p14
HGNC:30339	RIMBP2	rbp2
HGNC:3033	ATN1	hrs
HGNC:3036	DSC2	dsc3
HGNC:3037	DSC3	dsc2
HGNC:3039	DSCAM	chd2
HGNC:30403	SCAF1	sra1
HGNC:30418	SH3D19	ebp
HGNC:3043	PSMG1	pac1
HGNC:30492	DNAAF3	dab1
HGNC:3054	DSPP	dsp
HGNC:30621	SPNS1	lat
HGNC:30646	SND1	p100
HGNC:30654	XRN1	sep1
HGNC:3067	DUSP12	dusp1
HGNC:3068	DUSP2	pac1
HGNC:30778	GATAD2B	p68
HGNC:30824	PRSS55	tsp1
HGNC:30833	CDK2AP2	p14
HGNC:30882	USE1	p31
HGNC:30933	BEX2	bex1
HGNC:30935	YY1AP1	yap
HGNC:316	AFM	alf
HGNC:31708	LRP12	st7
HGNC:31911	RGL4	rgr
HGNC:3212	EEF1E1	p18
HGNC:3236	EGFR	mena
HGNC:32389	BDH2	efa6r
HGNC:3247	EHHADH	lbp
HGNC:3287	EIF4E	cbp
HGNC:3297	EIF4G2	nat1
HGNC:3297	EIF4G2	p97
HGNC:3299	EIF5	eif-5a
HGNC:33237	DUSP28	dusp26
HGNC:3332	MARK2	par-1
HGNC:33426	GGTLC3	ggt
HGNC:3345	ENC1	ccl28
HGNC:33529	PALM2-AKAP2	akap2
HGNC:33596	DEFA1B	hp1
HGNC:33701	CARD16	cop1
HGNC:3374	EPAS1	hlf
HGNC:33904	ACOD1	cad
HGNC:3393	EPHB2	erk
HGNC:33941	SLC35E2B	slc35e2
HGNC:341	AGXT	agt
HGNC:3423	EPX	epo
HGNC:34345	ARMH1	p40
HGNC:34396	OCM2	ocm
HGNC:3477	ETF1	erf
HGNC:3481	ETFA	madd
HGNC:3482	ETFB	madd
HGNC:3483	ETFDH	madd
HGNC:34	ABCA4	rmp
HGNC:3527	EZH2	ezh1
HGNC:35428	CMC4	mtcp1
HGNC:3551	F9	p19
HGNC:3554	HSD17B8	ring2
HGNC:3590	FAP	dppiv
HGNC:3594	FASN	fas
HGNC:3624	FCN2	p35
HGNC:3670	FGF13	fgf2
HGNC:3688	FGFR1	flg
HGNC:3700	FH	mcl
HGNC:37100	CFAP73	mia2
HGNC:3720	FKBP4	fkbp51
HGNC:3720	FKBP4	p52
HGNC:3750	FLII	fli1
HGNC:3755	FLNB	sct
HGNC:3772	FMO4	fmo2
HGNC:38476	IGLL5	igl
HGNC:387	AKR1C4	cdr
HGNC:3959	FRZB	fritz
HGNC:39979	BORCS8-MEF2B	mef2b
HGNC:399	ALB	hsa
HGNC:40032	SMIM6	eln
HGNC:4047	FZD9	fzd3
HGNC:4162	GARS	smad1
HGNC:4194	GCHFR	p35
HGNC:4232	GDNF	atf1
HGNC:4232	GDNF	atf2
HGNC:4242	GFPT2	gfat
HGNC:4251	GGT2	ggt
HGNC:4298	GLB1	ebp
HGNC:433	ALOX15	12-lox
HGNC:4380	GNA12	rmp
HGNC:4385	GNAI2	gip
HGNC:4389	GNAO1	hla-dqb1
HGNC:4417	GNPDA1	gpi
HGNC:4430	GOSR1	p28
HGNC:4458	GPI	nlk
HGNC:4563	GRAP2	p38
HGNC:4575	GRID1	glud1
HGNC:4583	GRIK5	grik2
HGNC:464	AMH	mif
HGNC:4655	GTF2H1	p62
HGNC:4658	GTF2H4	p52
HGNC:4814	KALRN	chd5
HGNC:4816	HARS	hrs
HGNC:4844	HCLS1	p75
HGNC:4847	HCRT	ppox
HGNC:4883	CFH	fhl1
HGNC:490	ANGPTL2	harp
HGNC:4945	HLA-DQB2	hla-dqb1
HGNC:500	ANPEP	p150
HGNC:5036	HNRNPD	p37
HGNC:5233	HSPA1B	hsp70-2
HGNC:5244	HSPA9	csa
HGNC:5247	HSPB2	hsp27
HGNC:5275	KAT5	cpla2
HGNC:5320	HYAL1	nat6
HGNC:5329	IAPP	dap
HGNC:5383	IDH2	idh
HGNC:5397	IFI27	p27
HGNC:5432	IFNAR1	avp
HGNC:544	ANXA6	p68
HGNC:544	ANXA6	p70
HGNC:5456	IFRD1	pc4
HGNC:5476	IGFBP7	psf
HGNC:566	AP3B1	hps
HGNC:586	APEH	dnf15s2
HGNC:5948	IGSF1	p120
HGNC:5962	IL10	tgif
HGNC:5969	IL12A	p35
HGNC:5973	IL13	p600
HGNC:5982	IL17B	il-20
HGNC:5983	IL17C	il-21
HGNC:5984	IL17D	il-22
HGNC:5984	IL17D	il27
HGNC:6018	IL6	hgf
HGNC:6029	IL9	p40
HGNC:6062	ING1	p33
HGNC:6086	INSL3	rlf
HGNC:6089	INSL6	rif1
HGNC:6119	IRF4	mum1
HGNC:6159	EIF6	eif3a
HGNC:6180	ITPR1	ip3r
HGNC:6204	JUN	p39
HGNC:6220	KCNA2	mk2
HGNC:6222	KCNA4	hk1
HGNC:6224	KCNA5	hk2
HGNC:6251	KCNH2	erg1
HGNC:6253	KCNH4	elk1
HGNC:6266	KCNJ5	cir
HGNC:6318	KIF2A	hk2
HGNC:6349	KLF5	cklf
HGNC:6357	KLK1	hk1
HGNC:6357	KLK1	klk6
HGNC:6363	KLK2	hk2
HGNC:6364	KLK3	hk3
HGNC:6367	KLK6	klk7
HGNC:6371	KLKB1	klk3
HGNC:6380	KLRG1	mafa
HGNC:6391	KIF22	obp
HGNC:6401	TNPO1	mip
HGNC:6412	KRT1	ck1
HGNC:6427	KRT17	pc2
HGNC:6444	KRT6B	pc2
HGNC:6444	KRT6B	pc4
HGNC:6445	KRT7	scl
HGNC:6448	KRT31	ha-1
HGNC:6458	KRT81	hb-1
HGNC:6492	LAMC1	lamb2
HGNC:6502	RPSA	lbp
HGNC:6502	RPSA	lrp
HGNC:6502	RPSA	p40
HGNC:6508	LANCL1	p40
HGNC:6510	STMN1	smn
HGNC:6526	LCN2	p25
HGNC:6528	LCP1	lpl
HGNC:6533	LDB2	ldb1
HGNC:6605	LILRB1	mir-7|mir7
HGNC:6606	LILRB2	mir-10|mir10
HGNC:6628	LLGL1	dlg4
HGNC:6638	LMNB2	lamb2
HGNC:6657	LNX1	mpdz
HGNC:6701	LRPAP1	mrap
HGNC:6711	LTB	p33
HGNC:6716	LTBP3	ltbp2
HGNC:674	ARHGAP4	p115
HGNC:6782	MAFK	p18
HGNC:6803	MAGEA5	magea4
HGNC:682	ARHGEF2	p40
HGNC:6864	MAP4K2	gck
HGNC:6866	MAP4K4	nik
HGNC:6871	MAPK1	p38
HGNC:6871	MAPK1	p40
HGNC:6891	MAPRE2	eb1
HGNC:6891	MAPRE2	rp1
HGNC:6892	MAPRE3	ebf3
HGNC:6915	MB	pvalb
HGNC:6916	MBD1	pcm1
HGNC:6919	MBD4	med1
HGNC:6922	MBL2	mbp
HGNC:6944	MCM2	ccnl1
HGNC:6950	MCM7	mcm2
HGNC:6953	CD46	tlx
HGNC:6974	MDM4	mrp1
HGNC:698	ARL4C	lak
HGNC:7043	MGAM	mga
HGNC:7103	MIP	lim1
HGNC:7104	MIPEP	mip
HGNC:7108	MKKS	mks
HGNC:7126	MLF2	ntn4
HGNC:7133	KMT2D	mll4
HGNC:7142	MARCKSL1	mlp
HGNC:7142	MARCKSL1	mrp
HGNC:7158	MMP12	mme
HGNC:7203	CD200	mox1
HGNC:7203	CD200	mox2
HGNC:7211	MPG	mid1
HGNC:7211	MPG	pig11
HGNC:7225	MPZ	chm
